CPSE,Legacy Code,Description,Common NMC,Confidence
CPSE-C,CP7781,"SS PIPE 2"" SCHEDULE 40",NMC-0001,98.0
CPSE-A,MAT1001,SS PIPE 2 IN SCH 40,NMC-0001,98.0
CPSE-B,458921,STAINLESS STEEL PIPE 50.8 MM S40,NMC-0001,98.0
CPSE-A,MAT1002,CARBON STEEL PIPE 3 IN SCH 80,NMC-0002,97.77
CPSE-B,458922,CS PIPE 3 INCH SCHEDULE 80,NMC-0002,97.77
CPSE-C,CP7782,CARBON STEEL PIPE 76.2 MM SCH 80,NMC-0002,97.77
CPSE-A,MAT1003,SS ELBOW 2 IN 90 DEG,NMC-0003,97.83
CPSE-C,CP7783,STAINLESS STEEL ELBOW 2 INCH 90 DEG,NMC-0003,97.83
CPSE-B,458923,SS 90 DEG ELBOW 50.8MM,NMC-0003,97.83
CPSE-C,CP7784,SS HEXAGONAL BOLT M10 X 50 MM,NMC-0004,83.55
CPSE-B,458924,STAINLESS HEX BOLT M10X50,NMC-0004,83.55
CPSE-A,MAT1004,HEX BOLT M10 X 50 SS,NMC-0004,83.55
CPSE-B,458925,CS FLANGE 4 IN,NMC-0005,97.63
CPSE-C,CP7785,CARBON STEEL FLANGE 101.6 MM,NMC-0005,97.63
CPSE-A,MAT1005,CARBON STEEL FLANGE 4 IN,NMC-0005,97.63
