CPSE 1,Code 1,Description 1,CPSE 2,Code 2,Description 2,AI Similarity,Final Score,Reasons
CPSE-A,MAT1001,SS PIPE 2 IN SCH 40,CPSE-B,458921,STAINLESS STEEL PIPE 50.8 MM S40,86.74,97.29,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1002,CARBON STEEL PIPE 3 IN SCH 80,CPSE-B,458922,CS PIPE 3 INCH SCHEDULE 80,94.71,98.92,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1003,SS ELBOW 2 IN 90 DEG,CPSE-B,458923,SS 90 DEG ELBOW 50.8MM,85.2,96.96,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1004,HEX BOLT M10 X 50 SS,CPSE-B,458924,STAINLESS HEX BOLT M10X50,95.27,77.66,"Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1005,CARBON STEEL FLANGE 4 IN,CPSE-B,458925,CS FLANGE 4 IN,100.0,100.0,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1001,SS PIPE 2 IN SCH 40,CPSE-C,CP7781,"SS PIPE 2"" SCHEDULE 40",94.45,98.9,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1002,CARBON STEEL PIPE 3 IN SCH 80,CPSE-C,CP7782,CARBON STEEL PIPE 76.2 MM SCH 80,84.89,96.94,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1003,SS ELBOW 2 IN 90 DEG,CPSE-C,CP7783,STAINLESS STEEL ELBOW 2 INCH 90 DEG,95.78,99.07,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1004,HEX BOLT M10 X 50 SS,CPSE-C,CP7784,SS HEXAGONAL BOLT M10 X 50 MM,90.24,97.89,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-A,MAT1005,CARBON STEEL FLANGE 4 IN,CPSE-C,CP7785,CARBON STEEL FLANGE 101.6 MM,84.01,96.44,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-B,458921,STAINLESS STEEL PIPE 50.8 MM S40,CPSE-C,CP7781,"SS PIPE 2"" SCHEDULE 40",91.99,97.81,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-B,458922,CS PIPE 3 INCH SCHEDULE 80,CPSE-C,CP7782,CARBON STEEL PIPE 76.2 MM SCH 80,90.25,97.46,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-B,458923,SS 90 DEG ELBOW 50.8MM,CPSE-C,CP7783,STAINLESS STEEL ELBOW 2 INCH 90 DEG,90.53,97.47,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-B,458924,STAINLESS HEX BOLT M10X50,CPSE-C,CP7784,SS HEXAGONAL BOLT M10 X 50 MM,86.04,75.09,"Same component, Same size, Same schedule, High AI semantic similarity"
CPSE-B,458925,CS FLANGE 4 IN,CPSE-C,CP7785,CARBON STEEL FLANGE 101.6 MM,84.01,96.44,"Same material type, Same component, Same size, Same schedule, High AI semantic similarity"
